uf,nome,id_ente,year,eleicao_estadual,pre_eleicao,pos_eleicao,dcl,rcl_rgf,resultado_primario,receitas_primarias,despesas_primarias,encargos_divida,dcl_hist,rcl_hist,dcl_sobre_rcl_hist,encargos_hist,dcl_sobre_rcl_ext,fonte_dcl_rcl,rcl_ext,encargos_ext,encargos_sobre_rcl_ext,fonte_encargos,dcl_sobre_rcl,primario_sobre_rcl,encargos_sobre_rcl,pib_nominal_mil,pib_real_mil,crescimento_pib_pct,ln_pib_real,ipca_aa,deflator_2010,teto,d_lag1,d_lag2,yvar,d_lag1_teto,d_lag2_teto,primario_teto,d_quebra_serie,primario_sobre_rcl_hist,primario_sobre_rcl_ext,fonte_primario
AC,Acre,12,2017,0,0,1,3212204.81978,4471916.24014,41494.96336,NA,5477768.10841,170313.1703,NA,NA,NA,NA,0.7183061236583977,SICONFI,4471916.24014,170313.1703,0.03808505373407174,SICONFI,0.7183061236583977,0.00927901175508174,0.03808505373407174,14272941,9408332.774601318,0.3140769047161207,16.05710631994496,2.9473499083459087,153.83761971404,12,0.7267472135741803,0.9680560274000294,-669746.5136047711,8.720966562890164,11.616672328800352,0.11134814106098088,1,NA,0.00927901175508174,SICONFI
AC,Acre,12,2018,1,0,0,3565447.36166,4846051.636630001,74226.66063,5583813.30799,5416448.9569,179469.20902,NA,NA,NA,NA,0.7357427508014447,SICONFI,4846051.636630001,179469.20902,0.037034109926407,SICONFI,0.7357427508014447,0.0153169355582059,0.037034109926407,15331123,9748602.688957574,3.616686638411082,16.092634518750536,3.7454821218273926,159.59958025707417,12,0.7183061236583977,0.7267472135741803,-521026.68051827897,8.619673483900772,8.720966562890164,0.1838032266984708,1,NA,0.0153169355582059,SICONFI
AC,Acre,12,2019,0,1,0,3116891.7147600004,5357455.83349,676641.6310299999,6105616.08483,5418947.8436199995,197980.22686,NA,NA,NA,NA,0.5817857975190377,SICONFI,5357455.83349,197980.22686,0.03695415006921859,SICONFI,0.5817857975190377,0.12629905911687492,0.03695415006921859,15630017,9580997.935066389,-1.7192695121428403,16.075292313109177,4.306039984113186,166.4720019974206,12,0.7357427508014447,0.7183061236583977,-900583.1984245371,8.828913009617336,8.619673483900772,1.5155887094024991,1,NA,0.12629905911687492,SICONFI
AC,Acre,12,2020,0,0,0,3337029.84169,5702871.32041,577899.78852,6428149.94683,5716209.76941,109636.55259,NA,NA,NA,NA,0.5851490686361986,SICONFI,5702871.32041,109636.55259,0.01922479860234998,SICONFI,0.5851490686361986,0.10133488133455772,0.01922479860234998,16476371,9785530.754877536,2.134775742540973,16.096415399025247,4.517341500509864,173.9921108303797,12,0.5817857975190377,0.7357427508014447,-932857.082679157,6.981429570228452,8.828913009617336,1.2160185760146927,1,NA,0.10133488133455772,SICONFI
AC,Acre,12,2021,0,0,1,2847799.0483000004,6690645.7354,627542.32173,7419063.05801,6617345.82774,130254.72325,NA,NA,NA,NA,0.42563889360221,SICONFI,6690645.7354,130254.72325,0.01946818414862803,SICONFI,0.42563889360221,0.09379398439969595,0.01946818414862803,21374440,11721489.47094214,19.783890772604607,16.276934422002498,10.061054893257904,191.49755261096232,12,0.5851490686361986,0.5817857975190377,745992.5639478504,7.021788823634384,6.981429570228452,1.1255278127963515,1,NA,0.09379398439969595,SICONFI
AC,Acre,12,2022,1,0,0,2505321.6002,7994706.97825,265003.55109,8724403.70109,8308883.71889,164185.62499,NA,NA,NA,NA,0.3133725359811001,SICONFI,7994706.97825,164185.62499,0.02053679083381983,SICONFI,0.3133725359811001,0.03314737510842554,0.02053679083381983,23676136,11881149.18291562,1.3621111239256578,16.290463599789135,5.784841959607778,202.57538338602325,12,0.42563889360221,0.5851490686361986,642121.9866175592,5.1076667232265205,7.021788823634384,0.39776850130110647,1,NA,0.03314737510842554,SICONFI
AC,Acre,12,2023,0,1,0,2051523.7076,8573004.13341,419049.03746,9961845.14939,9384434.86636,232896.55865,NA,NA,NA,NA,0.23930044540687576,SICONFI,8573004.13341,232896.55865,0.02716627159228523,SICONFI,0.23930044540687576,0.04888006945277408,0.02716627159228523,NA,NA,NA,NA,4.621113930566767,211.93662264757376,12,0.3133725359811001,0.42563889360221,NA,3.760470431773201,5.1076667232265205,0.586560833433289,1,NA,0.04888006945277408,SICONFI
AC,Acre,12,2024,0,0,0,1978574.8443,10111234.20799,669889.2959,11680739.82748,10807134.7482,232643.61212,NA,NA,NA,NA,0.19568084405922573,SICONFI,10111234.20799,232643.61212,0.02300842877679192,SICONFI,0.19568084405922573,0.06625198092737745,0.02300842877679192,NA,NA,NA,NA,4.831295791859613,222.17590777895543,12,0.23930044540687576,0.3133725359811001,NA,2.871605344882509,3.760470431773201,0.7950237711285295,1,NA,0.06625198092737745,SICONFI
AL,Alagoas,27,2002,1,0,0,NA,NA,NA,NA,NA,NA,3491788,1477875,2.36,314544.02901999996,2.36,SISTN,1477875,314544.02901999996,0.2128353406208238,STN-Servico,NA,NA,NA,11536853,19449586.5957516,NA,16.783336373085703,12.530337079575029,63.824270157497885,15,NA,NA,1764186.125609408,NA,NA,3.788838397970053,0,0.25258922653133686,0.25258922653133686,FINBRA
AL,Alagoas,27,2003,0,1,0,NA,NA,NA,NA,NA,NA,4482250,1619021,2.77,148480.74695,2.77,SISTN,1619021,148480.74695,0.09171020446924406,STN-Servico,NA,NA,NA,12624030,18552518.54007057,-4.612273126036415,16.736116108155965,9.299949329235147,69.75989494189933,15,2.36,NA,-320191.47662412364,35.4,NA,1.3007014036568998,0,0.08671342691045998,0.08671342691045998,FINBRA
AL,Alagoas,27,2004,0,0,0,NA,NA,NA,NA,NA,NA,5072920,1918255,2.64,153192.20392,2.64,SISTN,1918255,153192.20392,0.07986018747246847,STN-Servico,NA,NA,NA,14044907,19363090.2467468,4.369065606513312,16.77887924725796,7.600644138060453,75.06209630751793,15,2.77,2.36,-714571.1777564924,41.55,35.4,1.651389833624833,0,0.11009265557498886,0.11009265557498886,FINBRA
AL,Alagoas,27,2005,0,0,1,NA,NA,NA,NA,NA,NA,5487783,2442959,2.25,155194.83334,2.25,SISTN,2442959,155194.83334,0.06352739990315025,STN-Servico,NA,NA,NA,15484521,19975471.109908123,3.162619475288597,16.810015634315118,5.68973334585865,79.3329294312273,15,2.64,2.77,-1339223.530149716,39.6,41.55,1.3008319089063707,0,0.08672212726042472,0.08672212726042472,FINBRA
AL,Alagoas,27,2006,1,0,0,NA,NA,NA,NA,NA,NA,5927277,2674902,2.22,153950.207,2.22,SISTN,2674902,153950.207,0.05755358775760756,STN-Servico,NA,NA,NA,17395671,21539747.275619004,7.830985097192422,16.88541049682977,3.141774968304434,81.82539154972024,15,2.25,2.64,-1051356.622451617,33.75,39.6,2.103983733123682,0,0.14026558220824548,0.14026558220824548,FINBRA
AL,Alagoas,27,2007,0,1,0,NA,NA,NA,NA,NA,NA,6218123,3105363,2,145739.96688999998,2,SISTN,3105363,145739.96688999998,0.04693170070294519,STN-Servico,NA,NA,NA,19871266,23740609.79388011,10.217680319547108,16.982697633163006,4.457330433237816,85.47261962938191,15,2.22,2.25,-160181.40407231956,33.300000000000004,33.75,2.8983017961185227,0,0.19322011974123485,0.19322011974123485,FINBRA
AL,Alagoas,27,2008,0,0,0,NA,NA,NA,NA,NA,NA,6955422,3528416,1.97,157731.88075,1.97,SISTN,3528416,157731.88075,0.04470331184021385,STN-Servico,NA,NA,NA,22262295,25168101.399681274,6.012868322233023,17.041087933185036,5.902313417525495,90.51748152607746,15,2,2.22,-59043.57320826202,30,33.300000000000004,1.8309608547291494,0,0.1220640569819433,0.1220640569819433,FINBRA
AL,Alagoas,27,2009,0,0,1,NA,NA,NA,NA,NA,NA,6509556,3597965,1.81,133986.77448,1.81,SISTN,3597965,133986.77448,0.03723959918453903,STN-Servico,NA,NA,NA,24182388,26064744.661703028,3.562617806494961,17.076094179923164,4.312028329689999,94.42062097280385,15,1.97,2,-487207.1803244675,29.55,30,0.38232675640258246,0,0.02548845042683883,0.02548845042683883,FINBRA
AL,Alagoas,27,2010,1,0,0,NA,NA,NA,NA,NA,NA,6798649,4205565,1.62,173215.35309,1.62,SISTN,4205565,173215.35309,0.04118717772522835,STN-Servico,NA,NA,NA,27133038,27842095.61620672,6.818984715070542,17.142059664168222,5.909068347266233,100,15,1.81,1.97,-14312.372573057655,27.15,29.55,1.0832688825163816,0,0.07221792550109211,0.07221792550109211,FINBRA
AL,Alagoas,27,2011,0,1,0,NA,NA,NA,NA,NA,NA,7099747,4801099,1.48,184515.29726,1.48,SISTN,4801099,184515.29726,0.03843188762822845,STN-Servico,NA,NA,NA,31657321,30462976.19541022,9.41337396197255,17.232022608977587,6.503109040628852,106.50310904062886,15,1.62,1.81,1346138.6706536184,24.3,27.15,1.7116819180983396,0,0.11411212787322264,0.11411212787322264,FINBRA
AL,Alagoas,27,2012,0,0,0,NA,NA,NA,NA,NA,NA,7599503,5051891,1.5,263638.82924,1.5,SISTN,5051891,263638.82924,0.0521861673658438,STN-Servico,NA,NA,NA,34650397,31633759.365022294,3.843298704965248,17.26973544263028,5.838568997639149,112.7213665465968,15,1.48,1.62,1324337.9271798274,22.2,24.3,1.610518166326234,0,0.10736787775508226,0.10736787775508226,FINBRA
AL,Alagoas,27,2013,0,0,1,NA,NA,NA,NA,NA,NA,7998416,5465256,1.46,277288.34299000003,1.46,SISTN,5465256,277288.34299000003,0.05073656988620478,STN-Servico,NA,NA,NA,37282529,32048387.72544919,1.310714783034439,17.28275743508743,5.910818080013791,119.38412146047168,15,1.5,1.48,624585.6228207923,22.5,22.2,1.530382737084954,0,0.1020255158056636,0.1020255158056636,FINBRA
AL,Alagoas,27,2014,1,0,0,NA,NA,NA,NA,NA,NA,9186835,5969713,1.54,246133.46497,1.54,SISTN,5969713,246133.46497,0.04123036818855446,STN-Servico,NA,NA,NA,40974994,33125865.511730544,3.3620342948663895,17.31582497058533,6.407616596391952,127.0337982406296,15,1.46,1.5,663000.2387533211,21.9,22.5,0.06481794483252552,0,0.004321196322168369,0.004321196322168369,FINBRA
AL,Alagoas,27,2015,0,1,0,10555304.80152,6328523.88774,733320.00879,NA,7028515.9485,257574.12062,NA,NA,NA,NA,1.6678936492549827,SICONFI,6328523.88774,257574.12062,0.04070050539257475,SICONFI,1.6678936492549827,0.11587536395503412,0.04070050539257475,46367211,34380540.43803878,3.787598925872393,17.353001277342802,10.673497995621716,140.59274814960534,15,1.54,1.46,944797.8790587984,23.1,21.9,1.7381304593255118,1,NA,0.11587536395503412,SICONFI
AL,Alagoas,27,2016,0,0,0,7863514.89518,7646527.44373,1138364.9253399998,NA,9417493.15932,136739.75350999998,NA,NA,NA,NA,1.0283772539949392,SICONFI,7646527.44373,136739.75350999998,0.01788259501012108,SICONFI,1.0283772539949392,0.14887345055871556,0.01788259501012108,49468741,33732229.65049041,-1.8856910894602397,17.33396430774345,6.288055054224495,149.4332975554997,15,1.6678936492549827,1.54,-625965.9226248307,25.018404738824746,23.1,2.2331017583807333,1,NA,0.14887345055871556,SICONFI
AL,Alagoas,27,2017,0,0,1,7000340.86415,7348618.7753,363877.09955,NA,9965967.38659,210710.33276,NA,NA,NA,NA,0.9526063438859256,SICONFI,7348618.7753,210710.33276,0.02867346085066141,SICONFI,0.9526063438859256,0.04951639358039022,0.02867346085066141,52851067,34837979.49061445,3.2780217957159685,17.36621871431205,2.9473499083459087,153.83761971404,15,1.0283772539949392,1.6678936492549827,-417454.41603770707,15.425658809924087,25.018404738824746,0.7427459037058534,1,NA,0.04951639358039022,SICONFI
AL,Alagoas,27,2018,1,0,0,6816346.13058,7962976.44089,624932.3455599999,8198000.135810001,7827749.08862,326395.28069,NA,NA,NA,NA,0.856004809404931,SICONFI,7962976.44089,326395.28069,0.04098910540711328,SICONFI,0.856004809404931,0.07847974312104745,0.04098910540711328,54413047,34599629.54433115,-0.6841669630912928,17.359353533159396,3.7454821218273926,159.59958025707417,15,0.9526063438859256,1.0283772539949392,-1546777.9473024923,14.289095158288884,15.425658809924087,1.1771961468157117,1,NA,0.07847974312104745,SICONFI
