uf,nome,id_ente,year,eleicao_estadual,pre_eleicao,pos_eleicao,dcl,rcl_rgf,resultado_primario,receitas_primarias,despesas_primarias,encargos_divida,dcl_sobre_rcl,primario_sobre_rcl,encargos_sobre_rcl,pib_nominal_mil,pib_real_mil_2010,pib_real_mil_lag1,crescimento_pib_pct,ln_pib_real,ipca_aa,deflator_2010,deflator_medio_2010
RO,Rondônia,11,2023,0,1,0,670219.9956,12547484.24981,901448.65618,13426403.87608,11669822.94031,452091.35092,0.053414691125047535,0.07184297969480616,0.03603043780882576,NA,NA,33519268.250299703,NA,NA,4.621113930566767,211.93662264757376,208.42854514019308
RO,Rondônia,11,2024,0,0,0,-190484.10629,14214733.17414,511881.94709,15621807.25004,13778533.3342,357793.81169,-0.013400470058526046,0.03601066167187968,0.025170631576884785,NA,NA,NA,NA,NA,4.831295791859613,222.17590777895543,217.53149085344668
RR,Roraima,14,2002,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2392033,4032646.768871502,NA,NA,15.209933484815508,12.530337079575029,63.824270157497885,59.31670034837661
RR,Roraima,14,2003,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2594081,3812311.5872621345,4032646.768871502,-5.463785802172461,15.153746278942087,9.299949329235147,69.75989494189933,68.04483160997277
RR,Roraima,14,2004,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2822757,3891609.857981705,3812311.5872621345,2.080057437711158,15.17433347522382,7.600644138060453,75.06209630751793,72.534429272516
RR,Roraima,14,2005,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3193430,4119615.240698366,3891609.857981705,5.858896216151299,15.231270328784753,5.68973334585865,79.3329294312273,77.51767612789594
RR,Roraima,14,2006,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3802452,4708289.499592861,4119615.240698366,14.28954464190937,15.364835236464348,3.141774968304434,81.82539154972024,80.7607943464141
RR,Roraima,14,2007,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4203302,5021771.266502892,4708289.499592861,6.658081813727423,15.429293271366683,4.457330433237816,85.47261962938191,83.70158210983462
RR,Roraima,14,2008,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4841862,5473850.462374323,5021771.266502892,9.00238525173318,15.515492850411729,5.902313417525495,90.51748152607746,88.45440761090515
RR,Roraima,14,2009,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5671975,6113481.43543818,5473850.462374323,11.68521093991326,15.626006961911436,4.312028329689999,94.42062097280385,92.77815038614678
