uf,year,dcl_sobre_rcl_ext,primario_sobre_rcl_ext,encargos_sobre_rcl_ext,crescimento_pib_pct,teto,d_lag1,d_lag2,d_lag1_teto,d_lag2_teto,primario_teto,yvar
DF,2004,NA,NA,NA,7.644378742902513,13,NA,NA,NA,NA,NA,-0.04300686708000113
DF,2005,NA,NA,NA,5.646802985761146,13,NA,NA,NA,NA,NA,-0.04817608199520225
DF,2006,NA,NA,NA,7.300638916008961,13,NA,NA,NA,NA,NA,-0.03797741011269517
DF,2007,NA,NA,NA,6.450306947248929,13,NA,NA,NA,NA,NA,-0.03499638453283798
DF,2008,NA,NA,NA,11.743553248541485,13,NA,NA,NA,NA,NA,0.01853528318432832
DF,2009,NA,NA,NA,7.461800241831496,13,NA,NA,NA,NA,NA,0.03665187518492718
DF,2010,NA,NA,NA,10.403375288508965,13,NA,NA,NA,NA,NA,0.08687806744841721
DF,2011,NA,NA,NA,0.5378715178827154,13,NA,NA,NA,NA,NA,0.04968415552901763
DF,2012,NA,NA,NA,0.7243026912196804,13,NA,NA,NA,NA,NA,0.02074198193733698
DF,2013,NA,NA,NA,0.9319255512441726,13,NA,NA,NA,NA,NA,-2.573570774579148e-5
DF,2014,NA,NA,NA,5.555955925887579,13,NA,NA,NA,NA,NA,0.02962548209153818
DF,2015,0.2523064073755431,-0.136783496212188,0.01246224873072032,0.1637052088438562,13,NA,NA,NA,NA,-1.778185450758444,0.01197441836603241
DF,2016,0.2989221440654163,-0.03451421112908524,0.00991527945179021,0.4621695239426682,13,0.2523064073755431,NA,3.2799832958820603,NA,-0.4486847446781081,0.00164445215534271
DF,2017,0.337776316332652,-0.04704751691538936,0.01058357929062983,0.43699493236581954,13,0.2989221440654163,0.2523064073755431,3.885987872850411,3.2799832958820603,-0.6116177199000616,-0.00549737036756234
DF,2018,0.3517299861575606,-0.0173835611952611,0.01158950303060121,0.4441148378192983,13,0.337776316332652,0.2989221440654163,4.3910921123244755,3.885987872850411,-0.2259862955383943,-0.01005298801654513
DF,2019,0.360669461009109,0.00777353968763184,0.02065422019160087,3.5123103641250264,13,0.3517299861575606,0.337776316332652,4.572489820048288,4.3910921123244755,0.10105601593921391,0.01712728618148171
DF,2020,0.32695344214829164,0.0655467746463266,0.02215268869320399,-5.861780360159163,13,0.360669461009109,0.3517299861575606,4.688702993118417,4.572489820048288,0.8521080704022459,-0.04973995611051025
DF,2021,0.20526096257422624,0.08783047820374974,0.0152646333047629,-0.33796714098710545,13,0.32695344214829164,0.360669461009109,4.250394747927792,4.688702993118417,1.1417962166487468,-0.059646839902629
DF,2022,0.26321131658198016,-0.02441844568071143,0.01961283748502267,4.852978410222364,13,0.20526096257422624,0.32695344214829164,2.668392513464941,4.250394747927792,-0.3174397938492486,-0.01928147354389395
DF,2023,0.22972016553266927,0.0770482415380377,0.0669926675128424,6.332354190385514,13,0.26321131658198016,0.20526096257422624,3.421747115565742,2.668392513464941,1.00162713999449,0.03474686664516187
DF,2024,0.13054751922259833,-0.01785052560193286,0.02466169336980645,NA,13,0.22972016553266927,0.26321131658198016,2.986362151924701,3.421747115565742,-0.2320568328251272,NA
ES,2002,1.16,-0.01420817222587778,0.05363829242042904,NA,13,NA,NA,NA,NA,-0.1847062389364112,-0.03881365075559809
